,percent_broken,percent_fail_runs,rul_score,mse
cmapss_four2two_dadv,0.6,1.0,75.26170366795367,42.9456787109375
cmapss_four2two_dadv,0.6,1.0,72.83819226592664,43.002647399902344
cmapss_four2two_dadv,0.6,1.0,73.41741071428571,42.977577209472656
cmapss_four2two_dadv,0.6,0.8,75.26615287162163,42.945648193359375
cmapss_four2two_dadv,0.6,0.8,72.8390217784749,43.00259780883789
cmapss_four2two_dadv,0.6,0.8,73.43470982142857,42.97702407836914
cmapss_four2two_dadv,0.6,0.6,75.265670246139,42.945648193359375
cmapss_four2two_dadv,0.6,0.6,72.83803390444015,43.00265121459961
cmapss_four2two_dadv,0.6,0.6,73.33710635859073,42.980262756347656
cmapss_four2two_dadv,0.6,0.4,75.26286498552123,42.945674896240234
cmapss_four2two_dadv,0.6,0.4,72.83973817567568,43.0025520324707
cmapss_four2two_dadv,0.6,0.4,73.46960967664093,42.97593688964844
cmapss_four2two_dadv,0.6,0.2,75.26775156853282,42.94562530517578
cmapss_four2two_dadv,0.6,0.2,72.83985129102317,43.00254440307617
cmapss_four2two_dadv,0.6,0.2,60.322156280164094,41.498104095458984
cmapss_four2two_dadv,0.8,1.0,75.20353975627413,42.94617462158203
cmapss_four2two_dadv,0.8,1.0,72.83645783059846,40.8398323059082
cmapss_four2two_dadv,0.8,1.0,73.3833252895753,42.97870635986328
cmapss_four2two_dadv,0.8,0.8,75.20863748793437,42.946136474609375
cmapss_four2two_dadv,0.8,0.8,72.8362919280888,43.00275802612305
cmapss_four2two_dadv,0.8,0.8,73.34168375965251,42.98012924194336
cmapss_four2two_dadv,0.8,0.6,75.2058548503861,42.94615936279297
cmapss_four2two_dadv,0.8,0.6,72.83776242760618,43.00267028808594
cmapss_four2two_dadv,0.8,0.6,73.3800600265444,42.978824615478516
cmapss_four2two_dadv,0.8,0.4,75.20527419160231,42.946163177490234
cmapss_four2two_dadv,0.8,0.4,72.837935871139,41.35244369506836
cmapss_four2two_dadv,0.8,0.4,73.31142163368726,42.98117446899414
cmapss_four2two_dadv,0.8,0.2,75.21986607142857,42.946048736572266
cmapss_four2two_dadv,0.8,0.2,72.83852407094595,42.304466247558594
cmapss_four2two_dadv,0.8,0.2,73.39538338561776,42.978328704833984
cmapss_four2two_jan,0.0,1.0,73.43766590250965,42.968624114990234
cmapss_four2two_jan,0.0,1.0,72.29756123310811,43.051944732666016
cmapss_four2two_jan,0.0,1.0,72.41559332770271,43.02809143066406
cmapss_four2two_jan,0.0,0.8,73.43770360762548,42.9686164855957
cmapss_four2two_jan,0.0,0.8,72.29714647683397,43.052127838134766
cmapss_four2two_jan,0.0,0.8,72.41624939671814,43.02799606323242
cmapss_four2two_jan,0.0,0.6,73.4378091819498,42.96860885620117
cmapss_four2two_jan,0.0,0.6,72.2973877895753,43.05202865600586
cmapss_four2two_jan,0.0,0.6,72.41538972007721,43.02811813354492
cmapss_four2two_jan,0.0,0.4,73.43786196911196,42.9686164855957
cmapss_four2two_jan,0.0,0.4,72.29739533059846,43.05202865600586
cmapss_four2two_jan,0.0,0.4,72.41495234073359,43.02818298339844
cmapss_four2two_jan,0.0,0.2,73.43762065637065,42.96862030029297
cmapss_four2two_jan,0.0,0.2,72.29794582528957,43.05180358886719
cmapss_four2two_jan,0.0,0.2,72.41591759169884,43.02804183959961
cmapss_four2two_jan,0.2,1.0,73.43756032818533,42.9686164855957
cmapss_four2two_jan,0.2,1.0,72.29786287403475,43.0518684387207
cmapss_four2two_jan,0.2,1.0,72.41629464285714,43.027992248535156
cmapss_four2two_jan,0.2,0.8,73.4378318050193,42.96860885620117
cmapss_four2two_jan,0.2,0.8,72.29776484073359,43.0518913269043
cmapss_four2two_jan,0.2,0.8,72.41694317084942,43.02788543701172
cmapss_four2two_jan,0.2,0.6,73.4378770511583,42.96860885620117
cmapss_four2two_jan,0.2,0.6,72.2980513996139,43.051753997802734
cmapss_four2two_jan,0.2,0.6,72.41602316602317,43.02802276611328
cmapss_four2two_jan,0.2,0.4,73.43829180743244,42.96860122680664
cmapss_four2two_jan,0.2,0.4,72.29838320463321,43.05160140991211
cmapss_four2two_jan,0.2,0.4,72.41751628861005,43.02781295776367
cmapss_four2two_jan,0.2,0.2,73.43793737934362,42.96860885620117
cmapss_four2two_jan,0.2,0.2,72.29790057915058,43.05192184448242
cmapss_four2two_jan,0.2,0.2,72.4165057915058,43.0279541015625
cmapss_four2two_jan,0.4,1.0,73.43748491795367,42.96863555908203
cmapss_four2two_jan,0.4,1.0,72.29782516891892,43.05184555053711
cmapss_four2two_jan,0.4,1.0,72.41863236003861,43.02765655517578
cmapss_four2two_jan,0.4,0.8,73.43703245656371,42.96865463256836
cmapss_four2two_jan,0.4,0.8,72.29803631756756,43.0517578125
cmapss_four2two_jan,0.4,0.8,72.41799891409266,43.02775192260742
cmapss_four2two_jan,0.4,0.6,73.43766590250965,42.968624114990234
cmapss_four2two_jan,0.4,0.6,72.29896386341699,43.05139923095703
